,Community_Name,Agg_Ass,TOT_POP,EMP,FOR_BORN,COMMperc,INSTperc,VACperc,LING_ISO,TOT_COMM,WORK_AT_HOME,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,White,Hisp,Black,Asian,Other,EMP_rate
0,Rogers Park,529,55062,29897,14829,0.051667977000000004,0.06826966799999999,0.0038319770000000003,8712,27807,1642,10392,1460,12738,2690,20170,17639,18767,4063,2845,0.54
1,West Ridge,184,76215,34858,32603,0.061967847,0.074809337,0.005105979,19659,33060,1084,19904,3370,6268,2857,36403,11353,4962,16347,4134,0.46
2,Uptown,459,57973,34325,14913,0.046728924000000005,0.163844779,0.005521509,9292,31736,2204,10771,1523,15636,3043,26784,12674,13415,8206,2472,0.59
3,Lincoln Square,176,41715,25776,9408,0.033233893,0.23374557399999998,0.008872271,4524,23588,1695,11052,1285,9320,1655,23716,11831,1342,5921,1764,0.62
4,North Center,143,35789,21477,3906,0.056080915999999995,0.058203609,0.006447161999999999,1423,19373,1915,9445,1047,7049,1626,21938,6496,1333,1324,804,0.6
5,Lake View,239,100470,72712,12521,0.062235988,0.048324245,0.005172184,3399,66885,4918,21283,2860,36259,5253,75363,8268,4193,5143,1850,0.72
6,Lincoln Park,166,67710,44327,7416,0.123330525,0.051959017999999996,0.013707608,2160,40668,3040,14662,1736,18874,4118,54341,3254,3323,2325,1077,0.65
7,Near North Side,595,88893,58780,14156,0.16900114,0.069032192,0.034271055,3474,53218,4673,14511,1586,15552,17808,50397,2805,13884,4434,1291,0.66
8,Edison Park,7,11605,6425,1131,0.032737421,0.014791873999999998,0.001054205,537,6027,276,4793,252,732,189,10572,463,19,200,74,0.55
9,Norwood Park,39,37089,18734,7392,0.035020787000000005,0.070588994,0.00486901,3806,17752,700,14038,1307,1912,399,33176,2404,332,1212,419,0.51
10,Jefferson Park,43,26808,14103,7486,0.038887655,0.017652678999999998,0.005038411,4878,13314,381,8919,1335,2750,270,21101,2881,81,1237,559,0.53
11,Forest Glen,12,19019,9299,3596,0.023239372999999997,0.020934808,0.0034040579999999997,1726,8676,423,6561,705,1250,104,14793,1389,71,1586,326,0.49
12,North Park,60,18842,8552,7503,0.04912086400000001,0.242300205,0.005179235999999999,4476,7939,343,4802,1010,1429,618,10336,2652,452,4415,659,0.45
13,Albany Park,255,51992,27098,21813,0.06104993,0.043773182,0.004454222,16221,25715,919,13090,2222,8606,1548,15866,26741,1907,10178,2963,0.52
14,Portage Park,145,64307,34010,20362,0.057603037,0.035612347,0.004225240999999999,14633,32604,1032,21993,3261,6128,873,45418,15022,336,2467,2097,0.53
15,Irving Park,232,54606,29533,16632,0.050651654000000004,0.034570209,0.0056766690000000005,11538,27273,1806,15149,2354,8094,1424,25912,25401,1121,4362,1847,0.54
16,Dunning,68,43689,22210,13114,0.028606141,0.150536865,0.015352435,8326,21629,306,16609,1887,2246,440,34394,5441,234,1315,780,0.51
17,Montclare,24,13830,6233,4064,0.087129941,0.045062073,0.007162476,3661,6009,99,4278,698,709,137,6892,4865,264,337,288,0.45
